,Feature,Importance,inner,outer
45,MYOG,5.1709454811588174e-05,4,0
46,GSK3B,4.652957053030704e-05,4,0
47,CTNNB1,3.698836970156272e-05,4,0
48,NRG1,2.9395968698109343e-05,4,0
49,NCID,2.816895275581377e-05,4,0
50,DVL1,1.756301153588158e-05,4,0
51,MAPK8,1.5037151265939741e-05,4,0
52,IL6,7.532912118524138e-06,4,0
53,HER3,-3.3963709460405056e-06,4,0
54,YAP1,-7.743819036232225e-06,4,0
55,MYC,-1.1086539258631234e-05,4,0
56,FASLG,-1.2688185516140926e-05,4,0
57,ESR1,-3.109282296553939e-05,4,0
58,STAT5,-3.7915641203811745e-05,4,0
59,IGF1,-5.0579039052034425e-05,4,0
60,FADD,-5.533186182993255e-05,4,0
61,PI3K_c,-6.0147943884203414e-05,4,0
62,P53,-6.200131892486471e-05,4,0
63,BAD,-6.203284976857848e-05,4,0
64,CDKN2A,-6.931623567685286e-05,4,0
65,GRB7,-7.325760798448933e-05,4,0
66,NF2,-8.448278119033148e-05,4,0
67,ABL2,-9.478609029089924e-05,4,0
68,MYOD1,-9.5796970470019e-05,4,0
69,STAT3,-0.00010923717049404758,4,0
70,CEBPB,-0.00010943663371509871,4,0
71,IL8,-0.00011441742427409363,4,0
72,CREB1,-0.00011720965771100378,4,0
73,MDM2,-0.00011877589933884103,4,0
74,HER2,-0.00014537395882985304,4,0
75,RAS_i,-0.00015140658538059792,4,0
76,PRKAA2,-0.00016093587255505692,4,0
77,APC,-0.00016733904483856588,4,0
78,TCF4,-0.0001833817622916012,4,0
79,HRAS,-0.0001892529844982338,4,0
80,HSP90AA1,-0.00020654237134398734,4,0
81,PAK2,-0.00022379910573844253,4,0
82,IL1B,-0.00022984489658617324,4,0
83,DC,-0.0002512042778497481,4,0
84,FAS,-0.00025755357179979566,4,0
85,KRT14,-0.0002607864426577011,4,0
86,GATA3,-0.00026156220537287833,4,0
87,MEK_i,-0.0002912111373669646,4,0
88,CASP3,-0.0003026119725152432,4,0
89,TEAD1,-0.00031091890388801335,4,0
90,E2F1,-0.0003294030228013778,4,0
91,AXIN1,-0.0003377014544165835,4,0
92,P21,-0.00035189942579361144,4,0
93,INSR,-0.0003595098857913648,4,0
94,SGK1,-0.0003648021803261958,4,0
95,TRADD,-0.0003681789442951944,4,0
96,FZD3,-0.00041363327720911336,4,0
97,PIP3,-0.00042141665671890927,4,0
98,RELA,-0.0004251077923301816,4,0
99,NOS3,-0.0004339903777572651,4,0
100,PRKACA,-0.00044551788156244054,4,0
101,CYCLIN_D_c,-0.0004937074132239649,4,0
102,FOXO1,-0.0005110430903555452,4,0
103,LCK,-0.0005249060248077031,4,0
104,GRB2,-0.0006048092761784529,4,0
105,MCL1,-0.0006675825975365202,4,0
106,MTORC2_c,-0.0007481255571513135,4,0
107,PG,-0.0007657028178693626,4,0
108,STAT1,-0.0007995474100029876,4,0
109,RAC1,-0.000970905110679321,4,0
110,ERK_i,-0.0010626620783402707,4,0
111,PAX7,-0.0011228792386469566,4,0
112,NF1,-0.0013484544800875797,4,0
113,EGFR,-0.0014815986148264404,4,0
114,S6K1,-0.0022379979760680513,4,0
115,NEDD4L,-0.0033939277297704296,4,0
116,IVEBP1,-0.0036337005617742557,4,0
0,PGR,0.05129611708989634,0,1
1,FOXO3,0.009349421943963154,0,1
2,IGF1,0.004128088707818889,0,1
3,AKT_i,0.003332481466357673,0,1
4,HES1,0.003199698574429921,0,1
5,ES,0.002773170113547274,0,1
6,IGF1R,0.002628615534322809,0,1
7,PTEN,0.00241915761078515,0,1
8,NRG1,0.002412751534917268,0,1
9,WNT1,0.002275959222080348,0,1
10,IRS1,0.002202420045602338,0,1
11,FOXO1,0.0014964008616783486,0,1
12,PAK2,0.001495233292739817,0,1
13,HEY1,0.0011679510316665587,0,1
14,SOS1,0.001146338761623622,0,1
15,PRKACA,0.0011282645704645544,0,1
16,FZD3,0.0009651955125505873,0,1
17,PRB,0.0007853374999181595,0,1
18,DLL_i,0.0006541994112381211,0,1
19,RND1,0.0006059966864356836,0,1
20,DVL1,0.00047063413660786146,0,1
21,CASP3,0.0004341868581808628,0,1
22,YAP1,0.00042593359134091013,0,1
23,FAS,0.0004180242930847955,0,1
24,NEDD4L,0.00037185022297558934,0,1
25,PIM,0.00036896905500904964,0,1
26,LATS1,0.0003574521425241395,0,1
27,HER3,0.0002932093648716494,0,1
28,STAT3,0.00021849458890355056,0,1
29,CDKN2A,0.00018175954490906587,0,1
30,TWIST1,0.00013872211399779122,0,1
31,LCK,0.00013341882932460525,0,1
32,HER2,0.00011442865996880158,0,1
33,TCF4,0.00010582412306114897,0,1
34,KRT14,7.684983626587982e-05,0,1
35,PAX7,7.25389608094984e-05,0,1
36,PI3K_c,5.558518675963242e-05,0,1
37,IL6R,4.122961671093606e-05,0,1
38,ABL1,3.0513161307532677e-05,0,1
39,IL6,2.786152237277406e-05,0,1
40,FADD,2.820015457927205e-06,0,1
41,BCLXL,-1.012129984334642e-05,0,1
42,P53,-2.499904874320169e-05,0,1
43,FASLG,-6.280970440608602e-05,0,1
44,STAT5,-8.922939524891316e-05,0,1
45,APC,-9.146649145119756e-05,0,1
46,HSP90AA1,-9.237282931351398e-05,0,1
47,CTNNB1,-0.00011582081256189536,0,1
48,TEAD1,-0.00012550875584227406,0,1
49,MDM2,-0.00012607159145594515,0,1
50,ABL2,-0.00013675187483697115,0,1
51,CASP8,-0.00014926842655027528,0,1
52,INS,-0.00016989994527616403,0,1
53,IL8,-0.0001798181795632514,0,1
54,GATA3,-0.00018687637347214459,0,1
55,RELA,-0.00019065410163354723,0,1
56,INSR,-0.00019796018317530528,0,1
