,X,Y,slope,gene
0,0.245,-0.002951394504627898,0.028526215797100633,ABL1
1,0.6627425310806316,0.007145692191951108,0.028526215797100633,ABL1
2,0.9177425310806316,0.016558581472919533,0.028526215797100633,ABL1
0,0.18219669610507244,-0.0004498298179940653,0.0063386683211844866,ABL2
1,0.47487081305505613,-0.0019682334873697927,0.0063386683211844866,ABL2
2,0.7116687378091969,0.00032122416210735613,0.0063386683211844866,ABL2
3,0.9189946208592132,0.004317835863994573,0.0063386683211844866,ABL2
0,0.12437343922056196,0.10229600402712344,-0.3601298554120947,AKT_i
1,0.2705993832978991,0.09735743740582697,-0.3601298554120947,AKT_i
2,0.34606796142091284,0.09382537146212136,-0.3601298554120947,AKT_i
3,0.441980022903453,0.09714629176425792,-0.3601298554120947,AKT_i
4,0.5009374352947371,-0.010377559302243253,-0.3601298554120947,AKT_i
5,0.5288121675474287,-0.1250311557350199,-0.3601298554120947,AKT_i
6,0.6212639942420514,-0.13024648147674983,-0.3601298554120947,AKT_i
7,0.8181262564294826,-0.12808053166258002,-0.3601298554120947,AKT_i
8,0.959375,-0.12550541381085056,-0.3601298554120947,AKT_i
0,0.0037867755681818124,0.009611052070996976,-0.022221114852157376,APC
1,0.010346492789903971,0.009355864794208578,-0.022221114852157376,APC
2,0.02247231398809521,0.00694609397788239,-0.022221114852157376,APC
3,0.18474002639996137,0.005061552466193451,-0.022221114852157376,APC
4,0.43785354103713947,0.004323795784099252,-0.022221114852157376,APC
5,0.5454509217819105,0.003315997074156248,-0.022221114852157376,APC
6,0.6557125571061571,-0.002601551705464271,-0.022221114852157376,APC
7,0.7695488795687604,-0.010721940750449854,-0.022221114852157376,APC
8,0.8902611328409626,-0.012924781015814974,-0.022221114852157376,APC
0,0.011572746408018041,0.011585055938458586,-0.01320288002200066,AXIN1
1,0.1462681632047309,0.0038129047050521926,-0.01320288002200066,AXIN1
2,0.3510865865437066,0.0023657189018181472,-0.01320288002200066,AXIN1
3,0.5605929848539586,-0.0018446895199859883,-0.01320288002200066,AXIN1
4,0.7308453931724495,-0.00516322680041216,-0.01320288002200066,AXIN1
5,0.8000839991537215,-0.00796743905339449,-0.01320288002200066,AXIN1
6,0.871416448561412,-0.009451866512978167,-0.01320288002200066,AXIN1
7,0.9310665482954545,-0.003355201365091886,-0.01320288002200066,AXIN1
8,0.9753125,0.004955522007966014,-0.01320288002200066,AXIN1
0,0.02464225072368039,0.03740807680576275,-0.01007226945545387,BAD
1,0.05806125291949243,0.00686707362809158,-0.01007226945545387,BAD
2,0.0965570287535714,-0.0072966103889927775,-0.01007226945545387,BAD
3,0.1343343999396952,-0.012210005933597959,-0.01007226945545387,BAD
4,0.1522236811455268,-0.020536481832290357,-0.01007226945545387,BAD
5,0.21534236941338747,-0.03098280538177281,-0.01007226945545387,BAD
6,0.3011075566707567,-0.015038306872851306,-0.01007226945545387,BAD
7,0.4874570072835822,0.0008741344257466727,-0.01007226945545387,BAD
8,0.8206645122626219,-0.0012777704353669206,-0.01007226945545387,BAD
0,0.04583775685817804,-0.0963277281279457,0.327001611644909,BAK1
1,0.1121677791796066,-0.09754234685149994,0.327001611644909,BAK1
2,0.1884481229568486,-0.08590061952627717,0.327001611644909,BAK1
3,0.28294301407390754,-0.06179146182458072,0.327001611644909,BAK1
4,0.404085972948676,0.025871565102672564,0.327001611644909,BAK1
5,0.5558185455997329,0.10563769830126189,0.327001611644909,BAK1
6,0.8125574860895444,0.10907505714731262,0.327001611644909,BAK1
0,0.06714000586146708,-0.03489352138671059,0.11507853952364099,BAX
1,0.10036532999931286,-0.03489352138671059,0.11507853952364099,BAX
2,0.13680566773960282,-0.0419149696329149,0.11507853952364099,BAX
3,0.17133027852488814,-0.05350843912073836,0.11507853952364099,BAX
4,0.2143855379781713,-0.01986162599542493,0.11507853952364099,BAX
5,0.28248809453704415,0.019114783332757623,0.11507853952364099,BAX
6,0.36401562281314204,0.01512969277342397,0.11507853952364099,BAX
7,0.6855950585532968,0.034717577559718375,0.11507853952364099,BAX
8,0.98362546022506,0.059048127866596446,0.11507853952364099,BAX
0,0.005297722772277225,0.03276814030415832,-0.21069995088364737,BCL2
1,0.01609483924954995,0.031133099762962326,-0.21069995088364737,BCL2
2,0.05138088372899789,0.02823545514340957,-0.21069995088364737,BCL2
3,0.18685856131595302,-0.026503795841714674,-0.21069995088364737,BCL2
4,0.36972822603242467,-0.08882432761709955,-0.21069995088364737,BCL2
5,0.7098066559780978,-0.10164822559744827,-0.21069995088364737,BCL2
0,0.016572727838645412,-0.0065241610504391916,0.010077262558208473,BCLXL
1,0.05942244604595257,2.4703190899219227e-05,0.010077262558208473,BCLXL
2,0.16808260458993704,0.007769143864677724,0.010077262558208473,BCLXL
3,0.45197911216145037,0.009619404797856165,0.010077262558208473,BCLXL
4,0.8254962257788205,0.007969599794061432,0.010077262558208473,BCLXL
5,0.99875,0.00765211724460045,0.010077262558208473,BCLXL
0,0.0009375,-0.1247029538286446,0.5183620894252989,BID
1,0.05858896530184454,-0.12356766872412105,0.5183620894252989,BID
2,0.16603791033259982,-0.12924819806080687,0.5183620894252989,BID
