,X,Y,slope,gene
0,0.1686933283028902,-0.0031304834914833326,0.019034900058650755,ABL1
1,0.4745504591514387,0.003404049845058675,0.019034900058650755,ABL1
2,0.8058571308485485,0.009016590869503327,0.019034900058650755,ABL1
0,0.12558669642857143,-0.001134163727432698,0.006895783808836963,ABL2
1,0.2792662577639751,-0.0008682207203783733,0.006895783808836963,ABL2
2,0.47947563906369184,0.0008626881823715583,0.006895783808836963,ABL2
3,0.7352999225134849,0.0030641268619043213,0.006895783808836963,ABL2
4,0.9095038447851966,0.0038005996457413636,0.006895783808836963,ABL2
0,0.1365821656409365,0.09599366668819231,-0.30159759571355754,AKT_i
1,0.3176545224611798,0.08761296857315794,-0.30159759571355754,AKT_i
2,0.4177022358147271,0.08077863824806894,-0.30159759571355754,AKT_i
3,0.4893946788477655,0.06085812246754582,-0.30159759571355754,AKT_i
4,0.5130772998532817,-0.02985326267899474,-0.30159759571355754,AKT_i
5,0.5513244704676141,-0.1014770488509838,-0.30159759571355754,AKT_i
6,0.6826027337938532,-0.10064040527047427,-0.30159759571355754,AKT_i
7,0.852215763326239,-0.09855282052404962,-0.30159759571355754,AKT_i
8,0.953125,-0.09786030857003997,-0.30159759571355754,AKT_i
0,0.0031942740010608094,0.0035663383739493537,-0.008781343791303735,APC
1,0.009481051839558935,0.003566338373949326,-0.008781343791303735,APC
2,0.1385018181081501,0.0021954473868572434,-0.008781343791303735,APC
3,0.3923725218191462,0.0008245563997650949,-0.008781343791303735,APC
4,0.534496347911577,0.0008902426097467985,-0.008781343791303735,APC
5,0.6086028430990421,0.0020037432332701503,-0.008781343791303735,APC
6,0.7590322531583515,-0.002020784681499542,-0.008781343791303735,APC
7,0.9247682764213921,-0.007093127009810843,-0.008781343791303735,APC
0,0.00864274503589781,0.012218844805037718,-0.011830609338171953,AXIN1
1,0.0185162575857711,0.006671470371869491,-0.011830609338171953,AXIN1
2,0.15006674009170157,0.001060503791523438,-0.011830609338171953,AXIN1
3,0.37996269213917,-5.97571734255644e-05,-0.011830609338171953,AXIN1
4,0.5141045042945299,-0.0029383074347961204,-0.011830609338171953,AXIN1
5,0.6063034472384936,-0.004061531963586249,-0.011830609338171953,AXIN1
6,0.7539480902416407,-0.006198222948022743,-0.011830609338171953,AXIN1
7,0.8742376269023303,-0.007953129389553473,-0.011830609338171953,AXIN1
8,0.9360286670008913,-0.002769840277790505,-0.011830609338171953,AXIN1
9,0.9816536670008913,0.0022042772918079642,-0.011830609338171953,AXIN1
0,0.017382476708374124,0.026400365847297092,-0.012059250343005892,BAD
1,0.05682212115484177,0.0027334007689781732,-0.012059250343005892,BAD
2,0.13008864487804067,-0.024279864678838164,-0.012059250343005892,BAD
3,0.2288973531674716,-0.02845702669170172,-0.012059250343005892,BAD
4,0.2943570424263019,-0.017032761755365874,-0.012059250343005892,BAD
5,0.464157454537835,-0.0057075107058371585,-0.012059250343005892,BAD
6,0.8080487648474317,-0.0038756815354167376,-0.012059250343005892,BAD
0,0.055382984277950305,-0.02226737129855688,0.04629482427313222,BAK1
1,0.1672324326100577,-0.023534480619772858,0.04629482427313222,BAK1
2,0.26121067740683224,-0.014673167825928748,0.04629482427313222,BAK1
3,0.3692188381449547,0.005861582771000285,0.04629482427313222,BAK1
4,0.7197476090702299,0.01591984956523743,0.04629482427313222,BAK1
5,0.99989,0.015571787877605676,0.04629482427313222,BAK1
0,0.055142568742885596,-0.023666115651884003,0.11867546415777487,BAX
1,0.1026762082337474,-0.023666115651883958,0.11867546415777487,BAX
2,0.16696814271912022,-0.02915910256787757,0.11867546415777487,BAX
3,0.23063407196015498,-0.02837632096706784,0.11867546415777487,BAX
4,0.2599776012277,-0.02331627716431021,0.11867546415777487,BAX
5,0.3358043601630519,-0.021973863907704973,0.11867546415777487,BAX
