,X,Y,slope,gene
0,0.3101709888436634,-0.0006620722288672109,0.0014558471847913395,ABL1
1,0.6351800320904128,0.0016721430563083083,0.0014558471847913395,ABL1
2,0.7156814426298348,0.0016721430563083248,0.0014558471847913395,ABL1
3,0.8114140015570596,0.0007860966944413222,0.0014558471847913395,ABL1
4,0.9207416021739743,-9.99496674257039e-05,0.0014558471847913395,ABL1
0,0.04799511591478695,-0.0004709717331718027,0.001750464465968178,ABL2
1,0.3563926353928299,0.00020016298659801546,0.001750464465968178,ABL2
2,0.6694391459286804,0.000871297706367826,0.001750464465968178,ABL2
3,0.8610416264506374,0.0008712977063678393,0.001750464465968178,ABL2
0,0.017213372988397736,0.1269065202602423,-0.4596961113242597,AKT_i
1,0.15219949765908247,0.12333181976057622,-0.4596961113242597,AKT_i
2,0.3175950956048938,0.11297900355600514,-0.4596961113242597,AKT_i
3,0.4220072162600546,0.10588015034670609,-0.4596961113242597,AKT_i
4,0.4887135033417058,0.09898994865768715,-0.4596961113242597,AKT_i
5,0.5183181213943606,-0.06017415013728866,-0.4596961113242597,AKT_i
6,0.570967850783131,-0.21276878474763955,-0.4596961113242597,AKT_i
7,0.7650899874046306,-0.21092458159459232,-0.4596961113242597,AKT_i
8,0.951875,-0.2095342824168347,-0.4596961113242597,AKT_i
0,0.0012814643741159812,0.0013815495267840276,-0.0040906092903117645,APC
1,0.006564014280892365,0.0013815495267841158,-0.0040906092903117645,APC
2,0.012251725500675053,0.0013815495267841787,-0.0040906092903117645,APC
3,0.03363936171295699,0.0007812986357221802,-0.0040906092903117645,APC
4,0.22623464186597228,0.00018104774466002433,-0.0040906092903117645,APC
5,0.47378765779033255,-0.0007849776455876617,-0.0040906092903117645,APC
6,0.6313556666559513,-0.0012631509371092318,-0.0040906092903117645,APC
7,0.8571324646125327,-0.002195254091216255,-0.0040906092903117645,APC
0,0.008850291183007168,0.006057322751042839,-0.005618922554387376,AXIN1
1,0.02370329237369226,0.004967320691604957,-0.005618922554387376,AXIN1
2,0.27495450162027785,0.0017034963251252025,-0.005618922554387376,AXIN1
3,0.5465311910541739,-0.0008800503555827979,-0.005618922554387376,AXIN1
4,0.6693010735443701,-0.005382718756033501,-0.005618922554387376,AXIN1
5,0.8043838151536988,-0.008733367899869927,-0.005618922554387376,AXIN1
6,0.879879488031915,-0.008125818753830952,-0.005618922554387376,AXIN1
7,0.9287500000000001,-0.0012521564849461916,-0.005618922554387376,AXIN1
8,0.96875,0.005756251520847906,-0.005618922554387376,AXIN1
9,0.99625,0.005756251520847946,-0.005618922554387376,AXIN1
0,0.033741227629115876,0.030114087862498404,-0.01327494020345623,BAD
1,0.09971622044758147,-0.013055558454654725,-0.01327494020345623,BAD
2,0.13954176720863587,-0.01951741849910077,-0.01327494020345623,BAD
3,0.17353354874914426,-0.023969405076883235,-0.01327494020345623,BAD
4,0.26484235452955757,-0.016190723247635014,-0.01327494020345623,BAD
5,0.3616008938699936,-0.005070031901964256,-0.01327494020345623,BAD
6,0.69672531369941,-0.006180008963324338,-0.01327494020345623,BAD
0,0.0313660009057971,-0.11234013549750722,0.3165957451216403,BAK1
1,0.10057884122670807,-0.11354231996057884,0.3165957451216403,BAK1
2,0.20277389821360464,-0.10922140181536066,0.3165957451216403,BAK1
3,0.38193484444807674,-0.00553129852534591,0.3165957451216403,BAK1
4,0.5687533834756728,0.09263570215637912,0.3165957451216403,BAK1
5,0.8203795969202898,0.09309264856675323,0.3165957451216403,BAK1
0,0.08389675394638174,0.00579967606303199,-0.0013554228129919375,BAX
1,0.14548997108638895,0.003740918582888782,-0.0013554228129919375,BAX
2,0.19544909741283223,-0.003582824642895631,-0.0013554228129919375,BAX
3,0.24788413861208564,-0.005416800013132854,-0.0013554228129919375,BAX
4,0.34510245795644645,-0.001484797818755314,-0.0013554228129919375,BAX
5,0.46784630281155126,-0.00038125195691884536,-0.0013554228129919375,BAX
6,0.7515848481475836,0.00022130208594399806,-0.0013554228129919375,BAX
7,0.9903348481475837,0.00022130208594407091,-0.0013554228129919375,BAX
0,0.012886816212871285,0.02383403100327438,-0.08594276688252098,BCL2
1,0.09478088579840126,0.02430766041117036,-0.08594276688252098,BCL2
2,0.3679861371204084,-0.006306529837744948,-0.08594276688252098,BCL2
