,X,Y,slope,gene
0,0.0523073826709594,-0.0066981163751548035,0.042493826515292155,ABL1
1,0.29699488267095936,-0.0008802745142965935,0.042493826515292155,ABL1
2,0.6493988048282243,0.01716175084628986,0.042493826515292155,ABL1
3,0.9047113048282244,0.028225920416655982,0.042493826515292155,ABL1
0,0.17868633702122153,-0.0001622924932176285,0.0018320226906900427,ABL2
1,0.4939246786293179,0.00021458111219664633,0.0018320226906900427,ABL2
2,0.8152383416080964,0.0010026125869355674,0.0018320226906900427,ABL2
0,0.05456841550191695,0.07742711345624904,-0.2779245670266912,AKT_i
1,0.17971422438380819,0.07742711345624943,-0.2779245670266912,AKT_i
2,0.26089445662542143,0.07250598132639732,-0.2779245670266912,AKT_i
3,0.36170291944142163,0.0666159236137359,-0.2779245670266912,AKT_i
4,0.4783297098623639,0.04619246529340111,-0.2779245670266912,AKT_i
5,0.5997725949993262,-0.05020891915150294,-0.2779245670266912,AKT_i
6,0.7651412291816488,-0.12585041834994198,-0.2779245670266912,AKT_i
7,0.882744072346795,-0.12196327392531087,-0.2779245670266912,AKT_i
8,0.9575,-0.11929704837146948,-0.2779245670266912,AKT_i
0,0.005379517045454536,0.006828948630274883,-0.01506178261047381,APC
1,0.016642174246442484,0.003919740231422944,-0.01506178261047381,APC
2,0.16188566257072137,0.002260715545237937,-0.01506178261047381,APC
3,0.4104526088479383,0.003510899257904994,-0.01506178261047381,APC
4,0.5290066353242467,0.0023897611628036445,-0.01506178261047381,APC
5,0.5734954760565343,0.00143352254451669,-0.01506178261047381,APC
6,0.6862564938413485,-0.004306582087495807,-0.01506178261047381,APC
7,0.881938049630856,-0.011266067015242518,-0.01506178261047381,APC
0,0.003724020410168956,0.010948787391736218,-0.007363747321593757,AXIN1
1,0.010136724063376644,0.010063435765366132,-0.007363747321593757,AXIN1
2,0.019034938319317532,-0.0031952346263638756,-0.007363747321593757,AXIN1
3,0.15464231540548878,-0.008123001929166557,-0.007363747321593757,AXIN1
4,0.41288780200187414,-0.004277519615858656,-0.007363747321593757,AXIN1
5,0.655184517255819,-0.009075698324423613,-0.007363747321593757,AXIN1
6,0.8673635151608607,-0.004573896017249893,-0.007363747321593757,AXIN1
7,0.9818749999999999,0.002183990069704352,-0.007363747321593757,AXIN1
0,0.028325115026143533,0.03303100442588064,0.0003016858205334045,BAD
1,0.06525772810546616,-0.003033202203499924,0.0003016858205334045,BAD
2,0.09608147257121788,-0.012760460981255078,0.0003016858205334045,BAD
3,0.13597451594734752,-0.0200350096313128,0.0003016858205334045,BAD
4,0.18733349044277603,-0.02380245399366618,0.0003016858205334045,BAD
5,0.2487561867232223,-0.021006948705193484,0.0003016858205334045,BAD
6,0.2945872417141843,-0.0053574625480040106,0.0003016858205334045,BAD
7,0.6563388889782857,0.007284004710154286,0.0003016858205334045,BAD
0,0.10875369463059821,-0.06920569047295307,0.16805424052060874,BAK1
1,0.23348898053557804,-0.05825905243988827,0.16805424052060874,BAK1
2,0.29925417157022993,-0.03272728319853875,0.16805424052060874,BAK1
3,0.45439244771235154,0.012587931481697262,0.16805424052060874,BAK1
4,0.6545610620471014,0.04475273122439856,0.16805424052060874,BAK1
5,0.8746875,0.04429721748060583,0.16805424052060874,BAK1
0,0.08838102603815667,-0.012860346165448464,0.07104437360468262,BAX
1,0.17889438945947142,-0.015888666197717515,0.07104437360468262,BAX
2,0.23652463498739423,-0.02016726855420445,0.07104437360468262,BAX
3,0.26596293971137663,-0.025266461752024204,0.07104437360468262,BAX
4,0.31444603623065437,-0.025462251535168408,0.07104437360468262,BAX
5,0.408381388769239,0.0010257897616493955,0.07104437360468262,BAX
6,0.73426282994683,0.02489451077673595,0.07104437360468262,BAX
0,0.018101300770702062,0.05605542967083578,-0.20610145091933102,BCL2
1,0.0455081370012001,0.0541396810867844,-0.20610145091933102,BCL2
2,0.07417934326245122,0.0514848818339208,-0.20610145091933102,BCL2
3,0.254270718015998,-0.023006180516448656,-0.20610145091933102,BCL2
4,0.4464384839175881,-0.09912072924955309,-0.20610145091933102,BCL2
5,0.6724087429948352,-0.10272245219501977,-0.20610145091933102,BCL2
6,0.9180493221933801,-0.10376789668158751,-0.20610145091933102,BCL2
0,0.02626215377619954,-0.002089707298069598,-0.0011307226948580975,BCLXL
1,0.06602958075512161,0.0020962564883181415,-0.0011307226948580975,BCLXL
2,0.0980166105811803,0.0005934967692651201,-0.0011307226948580975,BCLXL
3,0.19823503671671555,0.002045806748922913,-0.0011307226948580975,BCLXL
4,0.38160730919360863,0.004686874155283742,-0.0011307226948580975,BCLXL
5,0.7403714560791513,0.0012502339502226305,-0.0011307226948580975,BCLXL
6,0.99875,-0.0017820616486542793,-0.0011307226948580975,BCLXL
0,0.001875,-0.16915004872492212,0.6468700572950389,BID
1,0.05228339985336174,-0.168970515906001,0.6468700572950389,BID
2,0.15754224552240087,-0.1771734750969631,0.6468700572950389,BID
3,0.23069529877828412,-0.08922503309249004,0.6468700572950389,BID
4,0.2709299695963367,0.04846514104172961,0.6468700572950389,BID
5,0.36315267204936796,0.0837963256767856,0.6468700572950389,BID
6,0.46240998096814845,0.15929666177332738,0.6468700572950389,BID
7,0.7466258254058723,0.24428810376914925,0.6468700572950389,BID
0,0.0028125,-0.06601092502801302,0.10419807248620422,BIM
1,0.007454666042069624,-0.050814280694072234,0.10419807248620422,BIM
2,0.010766407737417962,-0.04098684856624448,0.10419807248620422,BIM
3,0.11450672446855917,0.0009969054138717903,0.10419807248620422,BIM
4,0.26346486695016497,0.0398571692008384,0.10419807248620422,BIM
5,0.3442333320414723,0.033298014398201306,0.10419807248620422,BIM
6,0.43091996053897863,0.02525617793357235,0.10419807248620422,BIM
7,0.5548933652624493,0.02336310156071933,0.10419807248620422,BIM
8,0.8131243525879888,0.021955539884719127,0.10419807248620422,BIM
0,0.040466690648121785,-0.017730236613864653,0.08695325142241601,CASP3
1,0.06748328055600562,-0.020662699808270662,0.08695325142241601,CASP3
2,0.07938406931756573,-0.01070790468906171,0.08695325142241601,CASP3
3,0.11018546825970446,-0.0025195598346108485,0.08695325142241601,CASP3
4,0.15874105351498025,-0.0023462915948767506,0.08695325142241601,CASP3
5,0.2156124055946746,-0.012177885257691885,0.08695325142241601,CASP3
6,0.2803450404038941,-0.015470930756354513,0.08695325142241601,CASP3
7,0.3751281472951058,0.013788452216751373,0.08695325142241601,CASP3
8,0.5017739343987586,0.03486440875963412,0.08695325142241601,CASP3
9,0.6570293807630792,0.03144642462334517,0.08695325142241601,CASP3
0,0.1147359810311388,-0.0356823013064216,0.030187020143937218,CASP8
1,0.181994910124941,-0.031848037916021525,0.030187020143937218,CASP8
2,0.24343862858160814,-0.010985137694796511,0.030187020143937218,CASP8
3,0.29022022501580513,0.012606701334738152,0.030187020143937218,CASP8
4,0.4224040162632335,0.046033230297852626,0.030187020143937218,CASP8
5,0.5794003492000985,0.03678753215034604,0.030187020143937218,CASP8
6,0.8216382267021345,-0.001603372592131072,0.030187020143937218,CASP8
7,0.9998750000000001,-0.0038852524226968763,0.030187020143937218,CASP8
0,0.03281250000000001,-0.10660473458842945,0.5606902294682305,CASP9
1,0.046827933168316835,-0.11025591707176473,0.5606902294682305,CASP9
2,0.05848146347212256,-0.11624915491840639,0.5606902294682305,CASP9
3,0.07606367372181294,-0.1058380664071338,0.5606902294682305,CASP9
4,0.12946101762549372,-0.0152682326171633,0.5606902294682305,CASP9
5,0.21598068898231457,0.0659507993251108,0.5606902294682305,CASP9
6,0.27107542523260786,0.06578181229013094,0.5606902294682305,CASP9
7,0.30282536383043845,0.08124370521240365,0.5606902294682305,CASP9
8,0.374391122631765,0.11325856396157605,0.5606902294682305,CASP9
9,0.5480482912928275,0.13213991010908724,0.5606902294682305,CASP9
0,0.004046283629747981,0.15822158467136946,-0.13037868863093732,CDKN2A
1,0.014840798023733864,0.055492701374760506,-0.13037868863093732,CDKN2A
2,0.029216056128162277,-0.04991257523642856,-0.13037868863093732,CDKN2A
3,0.17150884724516458,-0.058255721799423676,-0.13037868863093732,CDKN2A
4,0.40870472415206227,-0.061634552164796075,-0.13037868863093732,CDKN2A
5,0.5571291547545798,-0.058232717794994115,-0.13037868863093732,CDKN2A
6,0.7012893339055202,-0.054916279365514575,-0.13037868863093732,CDKN2A
7,0.8997775977920144,-0.0495801896911337,-0.13037868863093732,CDKN2A
0,0.21465114791506226,-0.0054925072727439175,0.025196515570565476,CEBPB
1,0.4632898036496368,-0.009243596894387914,0.025196515570565476,CEBPB
2,0.6230408295714321,0.0032856268470995557,0.025196515570565476,CEBPB
3,0.873381159853575,0.015750155249688445,0.025196515570565476,CEBPB
4,0.9988168047418171,0.014075987473394648,0.025196515570565476,CEBPB
5,0.9998378187250996,0.003763372201684287,0.025196515570565476,CEBPB
0,0.029610085743999252,0.029914289776149537,-0.07719156676700993,CREB1
1,0.0688715691209707,0.019645979458563896,-0.07719156676700993,CREB1
2,0.10040125850277629,0.008279095856302918,-0.07719156676700993,CREB1
3,0.14039283061011038,0.0067484679194766695,-0.07719156676700993,CREB1
4,0.2274051694035506,0.006974499926043397,-0.07719156676700993,CREB1
5,0.3224391295955005,-0.0014705358535496843,-0.07719156676700993,CREB1
6,0.42262073188731075,-0.020760572722522762,-0.07719156676700993,CREB1
7,0.6811462162110554,-0.03633443077086623,-0.07719156676700993,CREB1
8,0.9328125,-0.041934432255399834,-0.07719156676700993,CREB1
0,0.18308269590065235,-0.012506620675560454,0.04061327116077644,CTNNB1
1,0.4503992958468445,-0.012128060778999689,0.04061327116077644,CTNNB1
2,0.7554172329166192,-0.012289026296258932,0.04061327116077644,CTNNB1
3,0.983600278561981,0.006205970855780535,0.04061327116077644,CTNNB1
4,0.9942321455915539,0.023550798236532812,0.04061327116077644,CTNNB1
5,0.9987325,0.02223966294798633,0.04061327116077644,CTNNB1
0,0.09718504373987175,0.0317763863499795,0.10570119312551356,CYCLIN_D_c
1,0.15282631316359452,-0.002388703368109882,0.10570119312551356,CYCLIN_D_c
2,0.20478878754787222,-0.02810819516117051,0.10570119312551356,CYCLIN_D_c
3,0.2721990705492674,-0.05219139943647899,0.10570119312551356,CYCLIN_D_c
4,0.35015144261769304,-0.057542537506338934,0.10570119312551356,CYCLIN_D_c
5,0.42103637696295376,-0.04318023454929844,0.10570119312551356,CYCLIN_D_c
6,0.48398719744101104,-0.001214345237981626,0.10570119312551356,CYCLIN_D_c
7,0.5476535865163534,0.028181677190039778,0.10570119312551356,CYCLIN_D_c
8,0.6585685715206434,0.0432962147082483,0.10570119312551356,CYCLIN_D_c
9,0.851584629725139,0.07418667825770586,0.10570119312551356,CYCLIN_D_c
0,0.0498691283633179,0.0007940028856684111,0.0027922965656187243,CYCS
1,0.13051215823261375,0.00037784875033269275,0.0027922965656187243,CYCS
2,0.18343311102522858,0.0020163304616653225,0.0027922965656187243,CYCS
3,0.2193557429287836,-0.008006161069128343,0.0027922965656187243,CYCS
4,0.33473966667989236,-0.008590927914554895,0.0027922965656187243,CYCS
5,0.7181740049070415,0.0029337541233855745,0.0027922965656187243,CYCS
0,0.0006646874999999969,-0.0026273835962334,-0.03346089458218686,DC
1,0.003338671266022856,0.008970535438460419,-0.03346089458218686,DC
2,0.008554104349863962,0.016626643863349357,-0.03346089458218686,DC
3,0.016536362029806715,0.010076164295908118,-0.03346089458218686,DC
4,0.21080587074579527,0.006222072680675759,-0.03346089458218686,DC
5,0.43000084257447124,0.0037497939953720183,-0.03346089458218686,DC
